# Language,English,German,French,Spanish,Turkish,Russian,Polish,Danish,Dutch,Japanese,Italian,Czech
:key,en_GB,de_DE,fr_FR,es_ES,tr_TR,ru_RU,pl_PL,da_DK,nl_NL,ja_JP,it_IT,cs_CZ
0176,Flight Mode 1,Flugmodus 1,Mode Vol 1,Modo Vuelo 1,Uçuş Modu 1,Режим полета 1,Flight Mode 1,Flight Mode 1,Flight Mode 1,フライトモード1,Flight Mode 1,Režim Flight 1
0177,Flight Mode 2,Flugmodus 2,Mode Vol 2,Modo de vuelo 2,Uçuş Modu 2,Режим полета 2,Flight Mode 2,Flytilstand 2,Flight Mode 2,フライトモード2,Flight Mode 2,Režim Flight 2
0178,Flight Mode 3,Flugmodus 3,Mode Vol 3,Modo de vuelo 3,Uçuş Modu 3,Режим полета 3,Flight Mode 3,Flytilstand 3,Flight Mode 3,フライトモード3,Flight Mode 3,Režim Flight 3
0179,Flight Mode 4,Flugmodus 4,Mode Vol 4,Modo de vuelo 4,Uçuş Modu 4,Режим полета 4,Flight Mode 4,Flight Mode 4,Flight Mode 4,フライトモード4,Flight Mode 4,Režim Flight 4
0180,Flight Mode 5,Flugmodus 5,Mode Vol 5,Modo de vuelo 5,Uçuş Modu 5,Режим полета 5,Flight Mode 5,Flytilstand 5,Flight Mode 5,フライトモード5,Flight Mode 5,Režim Flight 5
0181,Flight Mode 6,Flugmodus 6,Mode Vol 6,Modo de vuelo 6,Uçuş Modu 6,Режим полета 6,Flight Mode 6,Flytilstand 6,Flight Mode 6,フライトモード6,Flight Mode 6,Režim Flight 6
0182,Flight Mode 7,Flugmodus 7,Mode Vol 7,Modo de vuelo 7,Uçuş Modu 7,Режим полета 7,Flight Mode 7,Flytilstand 7,Flight Mode 7,フライトモード7,Flight Mode 7,Režim Flight 7
0183,Flight Mode 8,Flugmodus 8,Mode Vol 8,Modo de vuelo 8,Uçuş Modu 8,Режим полета 8,Flight Mode 8,Flytilstand 8,Flight Mode 8,フライトモード8,Flight Mode 8,Režim Flight 8
0184,Acro,Acro,Acro,Acro,Acro,Acro,Acro,Acro,Acro,アクロ,Acro,Acro
0185,Stabilized,Stabilisiert,Stabilisé,Estabilizado,Stabilize,Стабилизированный,Stabilizowane,Stabiliseret,Stabiel,安定化,Stabilizzato,Stabilizovaný
0186,Return to home,Zurück zum Startpunkt,Retour à la maison,Vuelve a casa,Eve geri dön,Вернуться на главную,Powrót do domu,Retur til hjemmet,Keer terug naar huis,ホームに戻ります,Torna a casa,Návrat k domovu
0187,Loiter,Loiter,Flâner,Holgazanear,Oyalanmak,Слоняться без дела,Marudzić,Loiter,Treuzelen,ぶらつきます,Bighellonare,Courat se
0188,Heading Hold,Kurs halten,Maintenez la position,Heading Hold,Başlık Tut,Стабилизация курса,Pozycji HOLD,Overskrift Hold,Heading Hold,ヘディングホールド,Rubrica attesa,Okruh Držte
0189,Altitude Hold,Höhe halten,Maintien d'altitude,Altitud Hold,Rakım Tut,Высота над уровнем моря Удержание,Wysokość Przytrzymaj,Altitude Hold,Altitude Hold,高度ホールド,Altitudine attesa,Nadmořská výška Podržte
0190,Position Hold,Position halten,Position attente,Posición Hold,Pozisyon Tut,Позиция удержания,Pozycja Przytrzymaj,Position Hold,Position Hold,位置保持,Posizione di attesa,PositionHold
0191,Speed Mode,Hochgeschwindigkeitsmodus,Mode Vitesse,Modo de velocidad,Hız Modu,Скоростной режим,Tryb prędkości,Speed ​​Mode,Speed ​​Mode,スピードモード,Speed ​​Mode,Režim Rychlost
0192,,,,,,,,,,,,
0193,,,,,,,,,,,,
0194,,,,,,,,,,,,
0195,Automatic Throttle ON,Automatisches Gas an,Automatique Throttle ON,Acelerador automático EN,Otomatik Gaz AÇIK,Автоматическая дроссельной О.Н.,Automatyczna przepustnica ON,Automatisk Throttle ON,Automatic Throttle ON,自動スロットルON,Automatic Throttle ON,Automatické Throttle ON
0196,Automatic Throttle OFF,Automatisches Gas aus,Automatique Throttle OFF,Acelerador automático apagado,KAPALI Otomatik Gaz,Автоматическая дроссельной ВЫКЛ,Automatyczna przepustnica OFF,Automatisk Throttle OFF,Automatic Throttle OFF,自動スロットルOFF,Automatic Throttle OFF,Automatické Throttle OFF
0197,Data Logging Started,Datenprotokollierung gestartet,Enregistrement des données en route,Registro de datos iniciales,Veri Günlüğü Başladı,Регистрация данных работы,Rozpoczęcie rejestrowania danych,Datalogning Startet,Data Logging Gestart,データロギングが開始します,Registrazione dati preliminari,Datalogging Začínáme
0198,Data Logging Stopped,Datenprotokollierung gestoppt,Data Logging Stopped,Registro de Datos Detenido,Veri Günlüğü Durduruldu,Регистрация данных остановлена,Rejestracja danych Stopped,Datalogning Stoppet,Data Logging Gestopt,データロギングを停止します,Logging Arrestato,Datalogging Zastaveno
0199,Trainer On,Trainer an,Sur formateur,Entrenador En,Eğitmen Açık,Тренер по,Trener dniu,Træner On,Trainer On,トレーナーについて,Trainer On,Trainer On
0200,Trainer Off,Trainer aus,Entraîneur Off,Entrenador Off,Eğitmen Kapalı,Тренер Выкл,Trener Wyłączony,Træner Off,Trainer Off,トレーナーオフ,Trainer Off,Trainer Off
,,,,,,,,,,,,
0260,Model One,Modell eins,Model One,Modelo Uno,Model One,Модель Один,Model One,Model One,Model One,モデルOne,Model One,Model One
0261,,Flaeimwiel 450,,,,,,,,,,
0262,,,,,,,,,,,,
0263,,,,,,,,,,,,
0264,,,,,,,,,,,,
0265,,,,,,,,,,,,
0266,,,,,,,,,,,,
0267,,,,,,,,,,,,
0268,,,,,,,,,,,,
0269,,,,,,,,,,,,
,,,,,,,,,,,,
0400,zero,null,zéro,cero,sıfır,нулю,zero,nul,zero,ゼロ,zero,nula
0401,one,eins,une,uno,bir,один,jeden,en,één,一,uno,Jeden
0402,two,zwei,deux,dos,iki,два,dwa,to,twee,二つ,due,Dvě
0403,three,drei,trois,tres,üç,три,trzy,tre,drie,3,tre,Tři
0404,four,vier,quatre,cuatro,dört,четыре,cztery,fire,vier,4,quattro,Čtyři
0405,five,fünf,cinq,cinco,beş,пять,pięć,fem,vijf,5,cinque,Pět
0406,six,sechs,six,seis,altı,шесть,sześć,seks,zes,6,sei,SIX
0407,seven,sieben,Sept,Siete,yedi,Семь,siedem,syv,zeven,セブン,Sette,sevenload
0408,eight,acht,huit,ocho,sekiz,восемь,osiem,otte,acht,8,otto,osm
0409,nine,neun,neuf,nueve,dokuz,девять,dziewięć,ni,negen,9,nove,Devět
0410,ten,zehn,dix,diez,on,десять,dziesięć,ti,tien,10,dieci,th
0411,eleven,elf,onze,once,on bir,одиннадцать,jedenaście,elleve,elf,11,undici,Jedenáct
0412,twelve,zwölf,douze,doce,oniki,двенадцать,dwanaście,tolv,twaalf,12,dodici,Dvanáct
0413,thirteen,dreizehn,treize,trece,on üç,тринадцать,trzynaście,tretten,dertien,13,tredici,Třináct
0414,fourteen,vierzehn,quatorze,catorce,on dört,четырнадцать,czternaście,fjorten,veertien,14,quattordici,Čtrnáct
0415,fifteen,funfzehn,quinze,quince,onbeş,пятнадцать,piętnaście,femten,vijftien,15,quindici,Patnáct
0416,sixteen,sechszehn,seize,dieciséis,on altı,шестнадцать,szesnaście,seksten,zestien,16,sedici,šestnáct
0417,seventeen,siebzehn,dix-sept,diecisiete,on yedi,семнадцать,siedemnaście,sytten,zeventien,17,diciassette,Sedmnáct
0418,eighteen,achtzehn,dix-huit,dieciocho,onsekiz,восемнадцать,osiemnaście,atten,achttien,18,diciotto,Osmnáct
0419,nineteen,neunzehn,dix-neuf,diecinueve,on dokuz,девятнадцать,dziewiętnaście,nitten,negentien,19,diciannove,Devatenáct
0420,twenty,zwanzig,vingt,veinte,yirmi,двадцать,dwadzieścia,tyve,twintig,20,venti,Dvacet
0421,twenty one,einundzwanzig,vingt et un,veintiuno,yirmi bir,двадцать один,dwadzieścia jeden,enogtyve,eenentwintig,21,ventuno,Dvacet Jedna
0422,twenty two,zweiundzwanzig,vingt-deux,Veintidós,yirmi iki,двадцать два,dwadzieścia dwa,to og tyve,tweeëntwintig,22,ventidue,Dvaadvacet
0423,twenty three,dreiundzwanzig,vingt-trois,veintitrés,yirmiüç,двадцать три,dwadzieścia trzy,treogtyve,drieëntwintig,23,ventitré,dvacet tři
0424,twenty four,vierundzwanzig,vingt-quatre,veinticuatro,yirmidört,двадцать четыре,dwadzieścia cztery,fireogtyve,vierentwintig,24,ventiquattro,Dvacet Čtyři
0425,twenty five,fünfundzwanzig,vingt cinq,Veinticinco,yirmi beş,двадцать пять,dwadzieścia pięć,femogtyve,vijfentwintig,25,venticinque,Dvacetpět
0426,twenty six,sechsundzwanzig,vingt-six,veintiseis,yirmi altı,двадцать шесть,dwadzieścia sześć,seksogtyve,zesentwintig,26,ventisei,Dvacet Šest
0427,twenty seven,siebenundzwanzig,vingt-sept,veintisiete,yirmi yedi,двадцать семь,dwadzieścia siedem,Twenty Seven,zevenentwintig,27,ventisette,Dvacet Sedm
0428,twenty eight,achtundzwanzig,vingt-huit,veintiocho,yirmi sekiz,двадцать восемь,dwadzieścia osiem,otteogtyve,achtentwintig,28,ventotto,Dvacet Osm
0429,twenty nine,neunundzwanzig,vingt-neuf,veintinueve,yirmi dokuz,двадцать девять,dwadzieścia dziewięć,Twenty Nine,negenentwintig,29,ventinove,twentyninegraphics
0430,thirty,dreißig,trente,treinta,otuz,тридцать,trzydzieści,tredive,dertig,30,trenta,Třicet
0431,thirty one,einunddreißig,trente et un,treinta y uno,otuz bir,тридцать один,trzydzieści jeden,enogtredive,eenendertig,31,trentuno,Třicet Jedna
0432,thirty two,zweiunddreißig,trente deux,treinta y dos,otuz iki,тридцать два,trzydzieści dwa,Thirty Two,tweeëndertig,32,trentadue,Třicet Dva
0433,thirty three,dreiunddreißig,trente-trois,treinta y tres,otuz üç,тридцать три,trzydzieści trzy,Thirty Three,drieëndertig,33,Trentatre,Třicet Tři
0434,thirty four,vierunddreißig,trente-quatre,treinta y cuatro,otuz dört,тридцать четыре,trzydzieści cztery,fire og tredive,vierendertig,34,trenta quattro,Čtyřiatřicet
0435,thirty five,fünfunddreißig,trente cinq,treinta cinco,otuzbeş,тридцать пять,trzydzieści pięć,femogtredive,vijfendertig,35,trentacinque,Třicet Pět
0436,thirty six,sechsunddreißig,trente-six,treinta seis,otuz altı,тридцать шесть,trzydzieści sześć,seksogtredive,zesendertig,36,trentasei,třicet šest
0437,thirty seven,siebenunddreißig,trente sept,treinta y siete,otuz yedi,тридцать семь,trzydzieści siedem,tredive syv,zevenendertig,37,trentasette,třicet sedm
0438,thirty eight,achtunddreißig,trente-huit,treinta y ocho,otuz sekiz,тридцать восемь,trzydzieści osiem,38,achtendertig,38,trentotto,Třicet Osm
0439,thirty nine,neununddreißig,trente neuf,treinta y nueve,otuz dokuz,тридцать девять,trzydzieści dziewięć,niogtredive,negenendertig,39,trentanove,Třicet Devět
0440,forty,vierzig,quarante,cuarenta,kırk,сорок,czterdzieści,fyrre,veertig,40,quaranta,Čtyřicet
0441,forty one,einundvierzig,quarante et un,cuarenta y uno,kırk bir,сорок один,czterdzieści jeden,Forty One,eenenveertig,41,quarantuno,Čtyřicet Jedna
0442,forty two,zweiundvierzig,quarante-deux,cuarenta y dos,kırk iki,сорок два,czterdzieści dwa,toogfyrre,tweeënveertig,42,quarantadue,Čtyřicet Dva
0443,forty three,dreiundvierzig,quarante trois,cuarenta y tres,kırk üç,сорок три,czterdzieści trzy,43,drieënveertig,43,quarantatre,Čtyřicet tři
0444,forty four,vierundvierzig,quarante quatre,cuarenta y cuatro,kırkdört,сорок четыре,czterdzieści cztery,forty four,vierenveertig,44,quarantaquattro,Čtyřicet Čtyři
0445,forty five,fünfundvierzig,quarante-cinq,Cuarenta y cinco,kırkbeş,сорок пять,czterdzieści pięć,Forty Five,vijfenveertig,四十五,quarantacinque,čtyřicet pět
0446,forty six,sechsundvierzig,quarante-six,cuarenta y seis,kırk altı,сорок шесть,czterdzieści sześć,46,zesenveertig,46,quarantasei,čtyřicet šest
0447,forty seven,siebenundvierzig,quarante-sept,cuarenta y siete,kırk yedi,сорок семь,czterdzieści siedem,syvogfyrre,zevenenveertig,四十七,quaranta sette,Čtyřicet Sedm
0448,forty eight,achtundvierzig,quarante huit,cuarenta y ocho,kırk sekiz,сорок восемь,czterdzieści osiem,Forty Eight,achtenveertig,48,quarantotto,Čtyřicet osm
0449,forty nine,neunundvierzig,quarante-neuf,cuarenta y nueve,kırk dokuz,сорок девять,czterdzieści dziewięć,49,negenenveertig,49,quarantanove,Čtyřicet devět
0450,fifty,funfzig,cinquante,cincuenta,elli,пятьдесят,pięćdziesiąt,halvtreds,vijftig,50,cinquanta,Padesát
0451,fifty one,einundfunfzig,cinquante et un,cincuenta uno,elli bir,пятьдесят один,pięćdziesiąt jeden,enoghalvtreds,eenenvijftig,51,cinquantuno,Padesát Jedna
0452,fifty two,zweiundfunfzig,cinquante-deux,cincuenta y dos,elli iki,пятьдесят два,pięćdziesiąt dwa,Fifty Two,tweeënvijftig,52,cinquantadue,Padesát Dva
0453,fifty three,dreiundfunfzig,cinquante trois,cincuenta y tres,elli üç,пятьдесят три,pięćdziesiąt trzy,53,drieënvijftig,53,cinquantatre,Padesát tři
0454,fifty four,vierundfunfzig,cinquante quatre,cincuenta y cuatro,elli dört,пятьдесят четыре,pięćdziesiąt cztery,Fifty Four,vierenvijftig,54,cinquanta quattro,fiftyfour
0455,fifty five,fünfundfunfzig,cinquante-cinq,cincuenta y cinco,elli beş,пятьдесят пять,pięćdziesiąt pięć,Fifty Five,vijfenvijftig,55,cinquantacinque,Padesát Pět
0456,fifty six,sechsundfunfzig,cinquante six,cincuenta y seis,elli altı,пятьдесят шесть,pięćdziesiąt sześć,seksoghalvtreds,zesenvijftig,56,cinquanta sei,Padesát Šest
0457,fifty seven,siebenundfunfzig,cinquante sept,cincuenta y siete,elli yedi,пятьдесят семь,pięćdziesiąt siedem,syvoghalvtreds,zevenenvijftig,57,cinquantasette,Padesát Sedm
0458,fifty eight,achtundfunfzig,cinquante huit,cincuenta y ocho,elli sekiz,пятьдесят восемь,pięćdziesiąt osiem,58,achtenvijftig,58,cinquantotto,padesát osm
0459,fifty nine,neunundfunfzig,cinquante neuf,cincuenta y nueve,elli dokuz,пятьдесят девять,pięćdziesiąt dziewięć,59,negenenvijftig,59,cinquantanove,Padesát Devět
0460,sixty,sechzig,soixante,sesenta,altmış,шестьдесят,sześćdziesiąt,tres,zestig,60,sessanta,Šedesát
0461,sixty one,einundsechzig,soixante-et-un,sesenta y uno,altmışbir,шестьдесят один,sześćdziesiąt jeden,Enogtres,eenenzestig,61,sessantuno,Šedesát Jedna
0462,sixty two,zweiundsechzig,soixante-deux,sesenta y dos,altmış iki,шестьдесят два,sześćdziesiąt dwa,toogtres,tweeënzestig,62,sessantadue,Šedesát Dva
0463,sixty three,dreiundsechzig,soixante trois,sesenta y tres,altmış üç,шестьдесят три,sześćdziesiąt trzy,treogtres,drieënzestig,63,sessantatre,Šedesát Tři
0464,sixty four,vierundsechzig,soixante-quatre,sesenta y cuatro,altmış dört,шестьдесят четыре,sześćdziesiąt cztery,fireogtres,vierenzestig,64,sessantaquattro,Sixtyfour
0465,sixty five,fünfundsechzig,soixante-cinq,sesenta y cinco,altmış beş,шестьдесят пять,sześćdziesiąt pięć,femogtres,vijfenzestig,65,sessantacinque,Šedesát Pět
0466,sixty six,sechsundsechzig,soixante six,sesenta y seis,altmış altı,шестьдесят шесть,sześćdziesiąt sześć,seksogtres,zesenzestig,66,sessantasei,Sixty Six
0467,sixty seven,siebenundsechzig,soixante-sept,sesenta y siete,altmış yedi,шестьдесят семь,sześćdziesiąt siedem,Sixty Seven,zevenenzestig,六十七,sessantasette,Šedesát Sedm
0468,sixty eight,achtundsechzig,soixante-huit,sesenta y ocho,altmış sekiz,шестьдесят восемь,sześćdziesiąt osiem,68,achtenzestig,68,Sessantotto,Sixty Eight
0469,sixty nine,neunundsechzig,soixante neuf,sesenta y nueve,altmışdokuz,шестьдесят девять,sześćdziesiąt dziewięć,sixty nine,negenenzestig,シックスナイン,sessanta nove,sixtynine
0470,seventy,siebzig,soixante-dix,setenta,yetmiş,семьдесят,siedemdziesiąt,halvfjerds,zeventig,70,settanta,Sedmdesát
0471,seventy one,einundsiebzig,soixante et onze,setenta y uno,yetmiş bir,семьдесят один,siedemdziesiąt jeden,Seventy One,eenenzeventig,71,settantuno,Sedmdesát jedna
0472,seventy two,zweiundsiebzig,soixante-douze,setenta y dos,yetmiş iki,семьдесят два,siedemdziesiąt dwa,to og halvfjerds,tweeënzeventig,72,settantadue,Sedmdesát Dva
0473,seventy three,dreiundsiebzig,soixante-treize,setenta y tres,yetmiş üç,семьдесят три,siedemdziesiąt trzy,treoghalvfjerds,drieënzeventig,73,settantatre,Sedmdesát Tři
0474,seventy four,vierundsiebzig,soixante quatorze,setenta y cuatro,yetmiş dört,семьдесят четыре,siedemdziesiąt cztery,74,vierenzeventig,74,settantaquattro,Sedmdesát čtyři
0475,seventy five,fünfundsiebzig,soixante-cinq,setenta y cinco,yetmiş beş,семьдесят пять,siedemdziesiąt pięć,femoghalvfjerds,vijfenzeventig,75,Settanta cinque,sedmdesát pět
0476,seventy six,sechsundsiebzig,soixante seize,setenta y seis,yetmiş altı,семьдесят шесть,siedemdziesiąt sześć,76,zesenzeventig,76,settantasei,Sedmdesát Šest
0477,seventy seven,siebenundsiebzig,soixante-dix sept,setenta y siete,yetmiş yedi,семьдесят семь,siedemdziesiąt siedem,syvoghalvfjerds,zevenenzeventig,77,settantasette,Sedmdesát Sedm
0478,seventy eight,achtundsiebzig,soixante dix huit,setenta y ocho,yetmiş sekiz,семьдесят восемь,siedemdziesiąt osiem,78,achtenzeventig,78,settantotto,Sedmdesát Osm
0479,seventy nine,neunundsiebzig,soixante-dix-neuf,setenta y nueve,yetmiş dokuz,семьдесят девять,siedemdziesiąt dziewięć,79,negenenzeventig,79,settantanove,sedmdesát devět
0480,eighty,achtzig,quatre-vingts,ochenta,seksen,восемьдесят,osiemdziesiąt,firs,tachtig,80,ottanta,osmdesát
0481,eighty one,einundachtzig,quatre-vingt-un,ochenta y uno,seksen bir,восемьдесят один,osiemdziesiąt jeden,81,eenentachtig,81,ottantuno,osmdesát jedna
0482,eighty two,zweiundachtzig,quatre-vingt deux,ochenta y dos,82,восемьдесят два,osiemdziesiąt dwa,toogfirs,tweeëntachtig,82,ottantadue,Dvaaosmdesát
0483,eighty three,dreiundachtzig,quatre vingt trois,ochenta y tres,elli üç,восемьдесят три,osiemdziesiąt trzy,83,drieëntachtig,83,ottanta tre per,osmdesát tři
0484,eighty four,vierundachtzig,quatre-vingt-quatre,ochenta y cuatro,seksen dört,восемьдесят четыре,osiemdziesiąt cztery,Eighty Four,vierentachtig,84,Eighty Four,Osmdesát Čtyři
0485,eighty five,fünfundachtzig,quatre-vingt-cinq,ochenta y cinco,seksen beş,восемьдесят пять,osiemdziesiąt pięć,eighty five,vijfentachtig,85,Ottanta cinque,osmdesát pět
0486,eighty six,sechsundachtzig,quatre-vingt-six,ochenta y seis,seksen altı,восемьдесят шесть,osiemdziesiąt sześć,86,zesentachtig,八六,ottantasei,osmdesát šest
0487,eighty seven,siebenundachtzig,quatre-vingt sept,ochenta y siete,seksen yedi,восемьдесят семь,osiemdziesiąt siedem,87,zevenentachtig,87,ottantasette,osmdesát sedm
0488,eighty eight,achtundachtzig,quatre vingt huit,ochenta y ocho,seksen sekiz,восемьдесят восемь,osiemdziesiąt osiem,88,achtentachtig,88,ottantotto,Osmdesát Osm
0489,eighty nine,neunundachtzig,quatre vingt neuf,ochenta y nueve,Eighty Nine,восемьдесят девять,osiemdziesiąt dziewięć,89,negenentachtig,89,ottantanove,osmdesát devět
0490,ninety,neunzig,quatre-vingt-,noventa,doksan,девяносто,dziewięćdziesiąt,halvfems,negentig,90,novanta,Devadesát
0491,ninety one,einundneunzig,quatre vingt onze,noventa y uno,doksan bir,девяносто один,dziewięćdziesiąt jeden,halvfems,eenennegentig,91,novantuno,Devadesát Jedna
0492,ninety two,zweiundneunzig,quatre-vingt douze,noventa y dos,doksan iki,девяносто два,dziewięćdziesiąt dwa,tooghalvfems,tweeënnegentig,92,92,devadesát dva
0493,ninety three,dreiundneunzig,quatre-vingt treize,noventa y tres,doksan üç,девяносто три,dziewięćdziesiąt trzy,93,drieënnegentig,93,novanta tre,devadesát tři
0494,ninety four,vierundneunzig,quatre-vingt quatorze,noventa y cuatro,doksan dört,девяносто четыре,dziewięćdziesiąt cztery,94,vierennegentig,94,Ninety Four,Devadesát čtyři
0495,ninety five,fünfundneunzig,quatre vingt quinze,noventa y cinco,doksan beş,девяносто пять,dziewięćdziesiąt pięć,femoghalvfems,vijfennegentig,95,novantacinque,Devadesát Pět
0496,ninety six,sechsundneunzig,quatre vingt seize,noventa y seis,doksan altı,девяносто шесть,dziewięćdziesiąt sześć,Ninety Six,zesennegentig,96,Ninety Six,Ninety Six
0497,ninety seven,siebenundneunzig,quatre-vingt-dix-sept,noventa y siete,doksan yedi,девяносто семь,dziewięćdziesiąt siedem,97,zevenennegentig,97,novantasette,devadesát sedm
0498,ninety eight,achtundneunzig,quatre-vingt dix-huit,noventa y ocho,doksan sekiz,девяносто восемь,dziewięćdziesiąt osiem,otteoghalvfems,achtennegentig,九八,novantotto,Devadesát Osm
0499,ninety nine,neunundneunzig,quatre-vingt-dix-neuf,noventa y nueve,doksan dokuz,девяносто девять,dziewięćdziesiąt dziewięć,Ninety Nine,negenennegentig,九九,novantanove,Devadesát Devět
